step,ID
0,NA
1,167
1,2453
2,1045
2,1705
3,1057
3,1663
4,1965
4,2604
5,1981
5,2168
6,47
6,2844
7,123
7,2036
8,419
8,2393
9,533
9,1009
10,1897
10,3039
11,35
11,2795
12,1231
12,1755
13,485
13,700
14,1316
14,3883
15,2311
15,3492
16,1176
16,1706
17,2076
17,2167
18,2915
18,3866
19,1037
19,2449
20,247
20,843
21,692
21,4660
22,903
22,999
23,176
23,880
24,1992
24,3258
25,3131
25,4629
26,292
26,444
27,194
27,947
28,3834
28,4821
29,3796
29,3966
30,1233
30,4188
31,2994
31,5024
32,555
32,5179
33,142
33,261
34,296
34,833
35,3316
35,3856
36,5012
36,5369
37,441
37,1262
38,2118
38,4891
39,862
39,5307
40,5226
40,5542
41,257
41,345
42,841
42,1071
43,2273
43,4884
44,1838
44,2941
45,4158
45,5213
46,42
46,151
47,623
47,1878
48,4389
48,4836
49,4962
49,5190
50,56
50,58
