step,genome_covereage
0,0.0
1,0.1913298175972865
2,0.3426024161528072
3,0.4620029192991737
4,0.5394470057734442
5,0.6074096908674169
6,0.6658948643867868
7,0.714373512757104
8,0.7497756068339996
9,0.7775089489842258
10,0.8023064602865425
11,0.8282903623256759
12,0.8519744167479474
13,0.8680033335634801
14,0.8851991920873572
15,0.9009431806357693
16,0.9111743420636781
17,0.919684264471779
18,0.9293708531024604
19,0.9391118990128645
20,0.9451975000218802
21,0.9508688367244336
22,0.9565907409010151
23,0.9611427860149816
24,0.9650889938920326
25,0.968524664771683
26,0.9719253274000831
27,0.9747405742714637
28,0.97715711605916
29,0.9796767376977602
30,0.9821078662568108
31,0.9836929620773118
32,0.9855552065535447
33,0.9872501893849147
34,0.9882479245455491
35,0.9896268606642427
36,0.9908472872008861
37,0.9916894301337412
38,0.9926968898086118
39,0.9937733935345595
40,0.994489117782344
41,0.9951017621792247
42,0.9955909052453057
43,0.9965118167434741
44,0.9971118192718478
45,0.9976787584518184
46,0.9980298134157454
47,0.9985743862129727
48,0.9989030747941563
49,0.9992152317011385
50,0.9993747137346122
51,0.9995176640938843
52,0.999789950492498
53,0.9999397080117356
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
