step,ID
0,NA
1,707
1,3211
2,1045
2,2637
3,1297
3,2481
4,167
4,2029
5,2621
5,3315
6,1830
6,2572
7,2172
7,2424
8,86
8,2168
9,202
9,443
10,2179
10,3557
11,193
11,2913
12,719
12,747
13,1334
13,2325
14,51
14,2130
15,446
15,2974
16,839
16,3610
17,2449
17,3860
18,1592
18,4689
19,944
19,5928
20,2342
20,3768
21,3258
21,5579
22,257
22,864
23,1699
23,4318
24,3291
24,3773
25,334
25,469
26,561
26,611
27,3021
27,4146
28,1189
28,1343
29,1079
29,1757
30,247
30,5454
31,3958
31,5498
32,256
32,1739
33,56
33,988
34,1180
34,1422
35,713
35,1601
36,2833
36,2869
37,5132
37,5831
38,917
38,3647
39,5426
39,5947
40,4889
40,5715
41,919
41,2873
42,4625
42,5849
43,272
43,2926
44,723
44,5171
45,3798
45,5018
46,1607
46,2404
47,307
47,923
48,2324
48,4639
49,2139
49,5493
50,3659
50,3984
51,865
51,5423
52,2464
52,5680
53,584
53,1195
54,3031
54,4407
55,931
55,4545
56,1316
56,1323
